9600
(-9.500000, -2.000000, -0.340996) (-0.340996, -0.340996, 1.000000) (-0.000000, 0.000000) 
(-10.000000, -2.000000, 0.127874) (0.127874, 0.127874, 1.000000) (-169880757321158344283443821009371660288.000000, 0.000000) 
(-9.500000, -2.000000, -0.340996) (-0.340996, -0.340996, 1.000000) (-0.000000, 0.000000) 
(-10.000000, -1.500000, 0.614758) (0.614758, 0.614758, 1.000000) (0.000000, -107374176.000000) 
(-10.000000, -1.500000, 0.614758) (0.614758, 0.614758, 1.000000) (-60311671785370588914297426687840747520.000000, 0.000000) 
(-9.500000, -2.000000, -0.340996) (-0.340996, -0.340996, 1.000000) (-0.000000, 0.000000) 
(-9.500000, -1.500000, 0.145888) (0.145888, 0.145888, 1.000000) (-0.000000, 0.000000) 
(-10.000000, -1.500000, 0.614758) (0.614758, 0.614758, 1.000000) (-169880757321158344283443821009371660288.000000, 0.000000) 
(-9.500000, -1.500000, 0.145888) (0.145888, 0.145888, 1.000000) (-0.000000, 0.000000) 
(-10.000000, -1.000000, 1.084323) (1.084323, 1.084323, 1.000000) (0.000000, -107374176.000000) 
(-10.000000, -1.000000, 1.084323) (1.084323, 1.084323, 1.000000) (-60311671785370588914297426687840747520.000000, 0.000000) 
(-9.500000, -1.500000, 0.145888) (0.145888, 0.145888, 1.000000) (-0.000000, 0.000000) 
(-9.500000, -1.000000, 0.615453) (0.615453, 0.615453, 1.000000) (-0.000000, 0.000000) 
(-10.000000, -1.000000, 1.084323) (1.084323, 1.084323, 1.000000) (-169880757321158344283443821009371660288.000000, 0.000000) 
(-9.500000, -1.000000, 0.615453) (0.615453, 0.615453, 1.000000) (-0.000000, 0.000000) 
(-10.000000, -0.500000, 1.421604) (1.421604, 1.421604, 1.000000) (0.000000, -107374176.000000) 
(-10.000000, -0.500000, 1.421604) (1.421604, 1.421604, 1.000000) (-60311671785370588914297426687840747520.000000, 0.000000) 
(-9.500000, -1.000000, 0.615453) (0.615453, 0.615453, 1.000000) (-0.000000, 0.000000) 
(-9.500000, -0.500000, 0.952734) (0.952734, 0.952734, 1.000000) (-0.000000, 0.000000) 
(-10.000000, -0.500000, 1.421604) (1.421604, 1.421604, 1.000000) (-169880757321158344283443821009371660288.000000, 0.000000) 
(-9.500000, -0.500000, 0.952734) (0.952734, 0.952734, 1.000000) (-0.000000, 0.000000) 
(-10.000000, 0.000000, 1.544021) (1.544021, 1.544021, 1.000000) (0.000000, -107374176.000000) 
(-10.000000, 0.000000, 1.544021) (1.544021, 1.544021, 1.000000) (-60311671785370588914297426687840747520.000000, 0.000000) 
(-9.500000, -0.500000, 0.952734) (0.952734, 0.952734, 1.000000) (-0.000000, 0.000000) 
(-9.500000, 0.000000, 1.075151) (1.075151, 1.075151, 1.000000) (-0.000000, 0.000000) 
(-10.000000, 0.000000, 1.544021) (1.544021, 1.544021, 1.000000) (-169880757321158344283443821009371660288.000000, 0.000000) 
(-9.500000, 0.000000, 1.075151) (1.075151, 1.075151, 1.000000) (-0.000000, 0.000000) 
(-10.000000, 0.500000, 1.421604) (1.421604, 1.421604, 1.000000) (0.000000, -107374176.000000) 
(-10.000000, 0.500000, 1.421604) (1.421604, 1.421604, 1.000000) (-60311671785370588914297426687840747520.000000, 0.000000) 
(-9.500000, 0.000000, 1.075151) (1.075151, 1.075151, 1.000000) (-0.000000, 0.000000) 
(-9.500000, 0.500000, 0.952734) (0.952734, 0.952734, 1.000000) (-0.000000, 0.000000) 
(-10.000000, 0.500000, 1.421604) (1.421604, 1.421604, 1.000000) (-169880757321158344283443821009371660288.000000, 0.000000) 
(-9.500000, 0.500000, 0.952734) (0.952734, 0.952734, 1.000000) (-0.000000, 0.000000) 
(-10.000000, 1.000000, 1.084323) (1.084323, 1.084323, 1.000000) (0.000000, -107374176.000000) 
(-10.000000, 1.000000, 1.084323) (1.084323, 1.084323, 1.000000) (-60311671785370588914297426687840747520.000000, 0.000000) 
(-9.500000, 0.500000, 0.952734) (0.952734, 0.952734, 1.000000) (-0.000000, 0.000000) 
(-9.500000, 1.000000, 0.615453) (0.615453, 0.615453, 1.000000) (-0.000000, 0.000000) 
(-10.000000, 1.000000, 1.084323) (1.084323, 1.084323, 1.000000) (-169880757321158344283443821009371660288.000000, 0.000000) 
(-9.500000, 1.000000, 0.615453) (0.615453, 0.615453, 1.000000) (-0.000000, 0.000000) 
(-10.000000, 1.500000, 0.614758) (0.614758, 0.614758, 1.000000) (0.000000, -107374176.000000) 
(-10.000000, 1.500000, 0.614758) (0.614758, 0.614758, 1.000000) (-60311671785370588914297426687840747520.000000, 0.000000) 
(-9.500000, 1.000000, 0.615453) (0.615453, 0.615453, 1.000000) (-0.000000, 0.000000) 
(-9.500000, 1.500000, 0.145888) (0.145888, 0.145888, 1.000000) (-0.000000, 0.000000) 
(-10.000000, 1.500000, 0.614758) (0.614758, 0.614758, 1.000000) (-169880757321158344283443821009371660288.000000, 0.000000) 
(-9.500000, 1.500000, 0.145888) (0.145888, 0.145888, 1.000000) (-0.000000, 0.000000) 
(-10.000000, 2.000000, 0.127874) (0.127874, 0.127874, 1.000000) (0.000000, -107374176.000000) 
(-10.000000, 2.000000, 0.127874) (0.127874, 0.127874, 1.000000) (-60311671785370588914297426687840747520.000000, 0.000000) 
(-9.500000, 1.500000, 0.145888) (0.145888, 0.145888, 1.000000) (-0.000000, 0.000000) 
(-9.500000, 2.000000, -0.340996) (-0.340996, -0.340996, 1.000000) (-0.000000, 0.000000) 
(-10.000000, 2.000000, 0.127874) (0.127874, 0.127874, 1.000000) (-169880757321158344283443821009371660288.000000, 0.000000) 
(-9.500000, 2.000000, -0.340996) (-0.340996, -0.340996, 1.000000) (-0.000000, 0.000000) 
(-10.000000, 2.500000, -0.257122) (-0.257122, -0.257122, 1.000000) (0.000000, -107374176.000000) 
(-10.000000, 2.500000, -0.257122) (-0.257122, -0.257122, 1.000000) (-60311671785370588914297426687840747520.000000, 0.000000) 
(-9.500000, 2.000000, -0.340996) (-0.340996, -0.340996, 1.000000) (-0.000000, 0.000000) 
(-9.500000, 2.500000, -0.725992) (-0.725992, -0.725992, 1.000000) (-0.000000, 0.000000) 
(-10.000000, 2.500000, -0.257122) (-0.257122, -0.257122, 1.000000) (-169880757321158344283443821009371660288.000000, 0.000000) 
(-9.500000, 2.500000, -0.725992) (-0.725992, -0.725992, 1.000000) (-0.000000, 0.000000) 
(-10.000000, 3.000000, -0.445971) (-0.445971, -0.445971, 1.000000) (0.000000, -107374176.000000) 
(-10.000000, 3.000000, -0.445971) (-0.445971, -0.445971, 1.000000) (-60311671785370588914297426687840747520.000000, 0.000000) 
(-9.500000, 2.500000, -0.725992) (-0.725992, -0.725992, 1.000000) (-0.000000, 0.000000) 
(-9.500000, 3.000000, -0.914841) (-0.914841, -0.914841, 1.000000) (-0.000000, 0.000000) 
(-10.000000, 3.000000, -0.445971) (-0.445971, -0.445971, 1.000000) (-169880757321158344283443821009371660288.000000, 0.000000) 
(-9.500000, 3.000000, -0.914841) (-0.914841, -0.914841, 1.000000) (-0.000000, 0.000000) 
(-10.000000, 3.500000, -0.392436) (-0.392436, -0.392436, 1.000000) (0.000000, -107374176.000000) 
(-10.000000, 3.500000, -0.392436) (-0.392436, -0.392436, 1.000000) (-60311671785370588914297426687840747520.000000, 0.000000) 
(-9.500000, 3.000000, -0.914841) (-0.914841, -0.914841, 1.000000) (-0.000000, 0.000000) 
(-9.500000, 3.500000, -0.861306) (-0.861306, -0.861306, 1.000000) (-0.000000, 0.000000) 
